identifier,L_min,L_max,P_min,P_max,S_min,S_max
DUKE_021,30.199199438095093,198.67860329151154,-125.58420956134796,42.89519429206848,0.6568984985351562,64.65689849853516
DUKE_508,-122.38830053806305,45.6526055932045,-87.12201249599457,80.91889363527298,69.22483229637146,133.22497725486755
ISPY2_501303,-4.416197299957275,163.60110050439835,-63.50779742002487,104.50950038433075,-13.528997421264648,51.271005153656006
ISPY2_219545,-200.98140490055084,-32.940498769283295,-129.23580557107925,38.80510056018829,-41.39299774169922,22.60700225830078
DUKE_236,-213.59029459953308,-44.829492807388306,-136.59719860553741,32.16360318660736,-1.4021987915039062,62.597801208496094
DUKE_429,-201.3275299688345,-32.5775299342233,-102.21821593961391,66.5317840257749,0.8757195472717285,65.77571392059326
ISPY2_105286,-195.62463372945786,-27.395470440387726,-92.60867714881897,75.62048614025116,-2.8906285762786865,62.00937283039093
ISPY2_375455,2.744511842727661,171.07350707054138,-94.15299558639526,74.17599964141846,-71.61170196533203,-7.611701965332031
NACT_17,-38.5999950170517,131.3999948501587,-61.90312194824219,106.14375305175781,17.578125,82.265625
DUKE_546,-2.3611908572690936,166.38880917734204,-38.66149905724744,130.08850090814144,-24.222511291503906,39.777488708496094
ISPY2_862244,-190.0190064907074,-21.80450201034546,-121.21900272369385,46.99550175666809,-77.07229948043823,-12.272296905517578
ISPY1_1084,-32.67127990722656,135.3289737701416,-74.17874145507812,94.57125854492188,18.34100341796875,82.40350341796875
ISPY2_894673,14.850753784179688,183.2882537841797,-226.76490783691406,-58.32740783691406,-19.94068145751953,44.05931854248047
ISPY1_1184,2.422595977783203,170.42347717285156,-77.501953125,91.248046875,-17.9598388671875,46.1026611328125
ISPY2_243836,-23.57698965072632,144.50480473041534,-109.23139369487762,58.85040068626404,-0.2536025047302246,64.54640007019043
ISPY2_953262,-178.93727111816406,-10.070083618164062,-115.446533203125,53.420654296875,-59.771191477775574,4.628807187080383
ISPY1_1122,-19.768662214279175,150.23102974891663,-135.6582682132721,32.38909113407135,-4.760498046875,59.927001953125
ISPY2_597253,-187.9361572265625,-19.7486572265625,-173.35499572753906,-5.1674957275390625,-47.60040283203125,16.39959716796875
ISPY2_123660,28.664017498493195,197.2838054895401,-144.46693760156631,24.15285038948059,-14.228431701660156,49.771568298339844
ISPY2_541165,-10.558299541473389,157.48260658979416,-142.28990823030472,25.75099790096283,54.422003746032715,119.22200632095337
ISPY2_756412,24.121608316898346,192.5668004155159,-116.05289280414581,52.39229929447174,39.50799608230591,104.30799865722656
ISPY2_119928,-22.521058976650238,146.20290350914001,-83.37858086824417,85.34538161754608,-32.32767140865326,32.57232999801636
ISPY1_1069,8.399993896484375,176.39999389648438,-95.42500305175781,73.32499694824219,-34.21875,29.84375
ISPY2_982505,25.46019560098648,193.7935249209404,-111.59389650821686,56.73943281173706,-12.936831712722778,51.863170862197876
ISPY2_879224,14.894823551177979,182.89482855796814,-96.91861540079117,71.081389605999,-31.773406982421875,32.226593017578125
ISPY2_729270,-193.57766723632812,-25.140167236328125,-105.87814331054688,62.559356689453125,27.13744354248047,91.13744354248047
ISPY2_152197,2.2819976806640625,170.40699768066406,-118.86000061035156,49.26499938964844,-34.1759033203125,29.8240966796875
ISPY2_942017,5.615693271160126,173.76899576187134,-80.66110467910767,87.49219781160355,-18.755996704101562,45.24400329589844
ISPY2_857165,20.780996799468994,189.10999202728271,-85.04649686813354,83.28249835968018,-43.32100200653076,21.479000568389893
ISPY2_151481,-4.5011749267578125,164.2488250732422,-133.6259002685547,35.12409973144531,-81.44845581054688,-17.448455810546875
DUKE_640,-181.46800231933594,-13.343002319335938,-70.67900085449219,97.44599914550781,-26.47540283203125,37.52459716796875
NACT_57,-168.8999924659729,1.0999974012374878,-89.86250305175781,78.88749694824219,-8.1875,55.875
ISPY2_383456,-5.546193897724152,162.47110390663147,-79.42729866504669,88.58999913930893,-52.67539954185486,13.324601888656616
